Name,Type of Parliamentarian,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation
"Arnot, David","Senator (2021/07/29 - )
","Saskatchewan (2021/07/29 - )
","Saskatchewan
",M,"Non-affiliated (2021/07/29 - )
"
"Audette, Michèle","Senator (2021/07/29 - )
","De Salaberry (2021/07/29 - )
","Quebec
",F,"Non-affiliated (2021/07/29 - )
"
"Gerba, Amina","Senator (2021/07/29 - )
","Rigaud (2021/07/29 - )
","Quebec
",F,"Progressive Senate Group (2021/09/02 - )
Non-affiliated (2021/07/29 - )
"
"Gignac, Clément","Senator (2021/07/29 - )
","Kennebec (2021/07/29 - )
","Quebec
",M,"Progressive Senate Group (2021/08/19 - )
Non-affiliated (2021/07/29 - 2021/08/18)
"
"Sorensen, Karen","Senator (2021/07/29 - )
","Alberta (2021/07/29 - )
","Alberta
",F,"Non-affiliated (2021/07/29 - )
"
"Clement, Bernadette","Senator (2021/06/22 - )
","Ontario (2021/06/22 - )
","Ontario
",F,"Non-affiliated (2021/06/22 - )
"
"Quinn, James","Senator (2021/06/22 - )
","New Brunswick (2021/06/22 - )
","New Brunswick
",M,"Canadian Senators Group (2021/09/08 - )
Non-affiliated (2021/06/22 - 2021/09/07)
"
"Yussuff, Hassan ","Senator (2021/06/22 - )
","Ontario (2021/06/22 - )
","Ontario
",M,"Non-affiliated (2021/06/22 - )
"
"Cotter, Brent","Senator (2020/01/31 - )
","Saskatchewan (2020/01/31 - )
","Saskatchewan
",M,"Independent Senators Group (2020/02/06 - )
Non-affiliated (2020/01/31 - 2020/02/05)
"
"Keating, Judith","Senator (2020/01/30 - 2021/07/15)
","New Brunswick (2020/01/30 - 2021/07/15)
","New Brunswick
",F,"Independent Senators Group (2020/02/06 - 2021/07/15)
Non-affiliated (2020/01/30 - 2020/02/05)
"
"Loffreda, Tony","Senator (2019/07/22 - )
","Shawinigan (2019/07/22 - )
","Quebec
",M,"Independent Senators Group (2019/11/07 - )
Non-affiliated (2019/07/22 - 2019/11/06)
"
