	1	2	3	Province or Territory	Constituency	Candidate	Gender	Occupation	Political Affiliation	Result	Votes	Image URL
	Parliament: 43 (Continues on the next page)	Parliament: 43 (Continues on the next page)	Parliament: 43 (Continues on the next page)	Parliament: 43 (Continues on the next page)	Parliament: 43 (Continues on the next page)	Parliament: 43 (Continues on the next page)	Parliament: 43 (Continues on the next page)	Parliament: 43 (Continues on the next page)	Parliament: 43 (Continues on the next page)	Parliament: 43 (Continues on the next page)	Parliament: 43 (Continues on the next page)	
		Type of Election: General (Continues on the next page)	Type of Election: General (Continues on the next page)	Type of Election: General (Continues on the next page)	Type of Election: General (Continues on the next page)	Type of Election: General (Continues on the next page)	Type of Election: General (Continues on the next page)	Type of Election: General (Continues on the next page)	Type of Election: General (Continues on the next page)	Type of Election: General (Continues on the next page)	Type of Election: General (Continues on the next page)	
			Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	
				Alberta	Banff--Airdrie	Richards, Blake	Man	Parliamentarian	Conservative Party of Canada	Elected	55504	https://lop.parl.ca/ParlInfoPic/17252/11194.jpg
				Alberta	Banff--Airdrie	Midgley, Gwyneth	Woman	Executive Director	Liberal Party of Canada	Defeated	8425	https://lop.parl.ca/Candidate/12772_tu.jpg
				Alberta	Banff--Airdrie	Wilson, Anne	Woman	Lawyer	New Democratic Party	Defeated	8185	https://lop.parl.ca/Candidate/12776_tu.jpg
				Alberta	Banff--Airdrie	Mullins, Austin	Man	Hospitality Services	Green Party of Canada	Defeated	3315	https://lop.parl.ca/Candidate/12773_tu.jpg
				Alberta	Banff--Airdrie	Wellwood, Nadine	Woman	Investment Manager / Financial Advisor	People's Party of Canada	Defeated	2651	https://lop.parl.ca/Candidate/12775_tu.jpg
				Alberta	Battle River--Crowfoot	Kurek, Damien C.	Man	Parliamentary Assistant / Farmer	Conservative Party of Canada	Elected	53309	https://lop.parl.ca/ParlInfoPic/20083/11077.jpg
				Alberta	Battle River--Crowfoot	Fryzuk, Natasha	Woman	Postal Worker	New Democratic Party	Defeated	3185	https://lop.parl.ca/Candidate/12788_tu.jpg
				Alberta	Battle River--Crowfoot	Clarke, Dianne	Woman	Business Owner	Liberal Party of Canada	Defeated	2557	https://lop.parl.ca/Candidate/12787_tu.jpg
				Alberta	Battle River--Crowfoot	Nelson, Geordie	Man	University Support Staff Member	Green Party of Canada	Defeated	1689	https://lop.parl.ca/Candidate/12791_tu.jpg
