12/15/2021 1 "Subject:	California Legislature Support For “Cash For Clunkers” For Heavy Duty Trucks
From:		Vice Mayor Kaplan, Councilmember Kalb And Pro Tem Pore Thao 
Recommendation: Adopt A Resolution Asking The California Legislature To Create, Expand, And Fund A “Cash For Clunkers” Program For Heavy Duty Freight Trucks, To Provide An Incentive For The Removal Of Heavily Polluting Trucks From Streets And Highways In Order To Reduce Air Pollution Impacts On Low-Income And Other Hard-Hit Communities" "air pollution"
9/22/2020 1 "Subject:	BAAQMD Inclusion Of Oakland Representation	
From:		Council President Kaplan		
Recommendation: Adopt A Resolution Seeking Appointment Of A City Of Oakland Councilmember To Represent The City Of Oakland, A Community Heavily Impacted By Air Pollution, On The Board Of The Bay Area Air Quality Management District (BAAQMD)" "air pollution"
4/11/2018 1 "2) A Resolution To Urge The Bay Area Air Quality Management District To Include Oakland Communities Most Heavily Impacted By Air Pollution For Prioritization To Get Remedial Efforts To Prevent, Control And Remediate Air Pollution And The Impacts Of Air Pollution" "air pollution"
9/1/2010 1 "Subject:	Opposing Proposition 23
From:		Councilmember Nadel
Recommendation:  Adopt A Resolution Opposing Proposition 23, A Ballot Initiative To Suspend The Clean Energy And Air Pollution Control Standards Of The Global Warming Solutions Act Of 2006 (AB32)" "air pollution"
4/11/2006 1 "Subject:	Air Quality and the Port of Oakland
From:		Councilmember Nadel
Recommendation: Receive An Informational Report To Be Presented By The Bay Area Air Quality Management District (BAAQMD), To Include, But Not Limited To, A Discussion Of Assembly Bill 1101 (Re: Air Pollution - Diesel Magnet Sources; Introduced By Members Oropeza And Horton); For Scheduling

This item was requested to return to this body by the April 13, 2006 Rules and Legislation Committee" "air pollution"
2/15/2006 1 "Subject:	Bill Analysis of Assembly Bill No.1101
From:		Public Works Agency
Recommendation: Receive An Informational Report Regarding The Bill Analysis Of Assembly Bill 1101 - Air Pollution: Diesel Magnet Sources; Introduced By Members Oropeza And Horton" "air pollution"
6/6/2002 1 "A resolution declaring the City of Oakland's support for the following 2002 State Legislation AB 2650 (Air pollution: diesel emissions) by Assemblymember Lowenthal" "air pollution"
9/22/2020 1 "Subject:	BAAQMD Inclusion Of Oakland Representation	
From:		Council President Kaplan		
Recommendation: Adopt A Resolution Seeking Appointment Of A City Of Oakland Councilmember To Represent The City Of Oakland, A Community Heavily Impacted By Air Pollution, On The Board Of The Bay Area Air Quality Management District (BAAQMD)" "air pollution"
11/19/2019 1 "Subject: 	Air Quality Plan For Operations Of Good Eggs Facility 
From: 		Planning And Building Department 
Recommendation: Receive An Informational Report On The Air Quality Plan Approved By The City Administrator For Operations Of The Good Eggs Facility Located At 2000 Maritime Street, Suite 200 In The Southeast Gateway Area Of The Oakland Army Base Redevelopment Project" "air pollution"
7/11/2019 1 "Subject:	Port Of Oakland ""Seaport Air Quality 2020 And Beyond Plan"" Presentation
From:		President Pro Tempore Kalb 
Recommendation: Receive An Informational Report And Presentation Providing An Detailed Overview And Status Update On The Port Of Oakland’s “Seaport Air Quality 2020 And Beyond Plan - The Pathway To Zero Emissions” Including, But Not Be Limited To: (A) An Update On Implementation Of Actions In The 2009 Maritime Air Quality Improvement Plan (MAQIP); (B) Available Data On Current Air Quality And Health Impacts On The West Oakland Community; (C) Specific Information About Efforts To " "air quality"
6/4/2019 1 "Subject: 	BAAQMD Grant For Commercial Lawn And Garden Equipment
From: 		Oakland Public Works Department 
Recommendation: Adopt A Resolution Authorizing The City Administrator Or Designee To Apply For, Accept, And Appropriate Grant Funds From The Bay Area Air Quality Management District (BAAQMD) For The Commercial Law And Garden Project In An Amount Not-To-Exceed Ninety-Five Thousand Dollars ($95,000.00); On The June 25, 2019 Public Works Committee Agenda" "air quality"
5/21/2019 1 "Subject:	BAAQMD Grant For Commercial Lawn And Garden Equipment	
From:		Oakland Public Works 		
Recommendation: Adopt A Resolution Authorizing The City Administrator Or Designee To Apply For, Accept, And Appropriate Grant Funds From The Bay Area Air Quality Management District For The Commercial Lawn And Garden Project In An Amount Not-To-Exceed Ninety-Five Thousand Dollars ($95,000.00)" "air quality"
2/19/2019 1 "Subject: 	Air Quality Plan For Operations Of ConGlobal Container Depot 
From: 		Planning And Building Department 
Recommendation: Receive An Informational Report On The Air Quality Plan Approved By The City Administrator For Operations Of The ConGlobal Container Depot And Repair Facility Located At 11 Burma Road In The New Central Gateway Area Of The Oakland Army Base Redevelopment Project" "air quality"
6/27/2018 1 "Subject:	Air Quality Plan For Operations Of The At The Former Oakland Army Base
From:		Office Of The City Administrator	
Recommendation: Receive An Informational Report On The Air Quality Plan Approved By The City Administrator For Operations Of The PODS Facility In The CE-1 Warehouse At The Oakland Army Base Redevelopment Project" "air quality"
4/11/2018 1 "2) A Resolution To Urge The Bay Area Air Quality Management District To Include Oakland Communities Most Heavily Impacted By Air Pollution For Prioritization To Get Remedial Efforts To Prevent, Control And Remediate Air Pollution And The Impacts Of Air Pollution" "air quality"
4/11/2018 1 "Subject:	Bay Area Air Quality Management District Report And Resolution On Heavily Impacted Communities
From:		Councilmember Kaplan		
Recommendation: Adopt The Following Pieces Of Legislation;

1) An Informational Report From Councilmember Kaplan On Recent Bay Area Air Quality Management District Board Actions; And" "air quality"
4/12/2018 1 "Subject:	Bay Area Air Quality Management District Report And Resolution On Heavily Impacted Communities
From:		Councilmember Kaplan	
Recommendation: Adopt A Resolution Establishing A Greenhouse Gas Emissions Reduction Target Of 56 Percent Below 2005 Emissions By 2030" "air quality"
1/23/2018 1 "Subject:	Oakland Army Base Construction-Related Air Quality Plan 
From:		Planning And Building Department
Recommendation: Receive An Informational Report On The Construction-Related Air Quality Plan Prepared By Prologis And Approved By The City Administrator For The Southeast And Central Gateway Sites Of The Oakland Army Base Redevelopment Project" "air quality"
5/2/2017 1 "Subject:	BAAQMD Grant For Commercial Lawn And Garden Equipment 
From:		Oakland Public Works Department 
Recommendation: Adopt A Resolution Authorizing The City Administrator Or Designee To Apply For, Accept, And Appropriate Grant Funds From The Bay Area Air Quality Management District For The Commercial Lawn And Garden Project In An Amount Not-To Exceed Ninety-Two Thousand Dollars ($92,000.00)" "air quality"
11/16/2016 1 "Subject:	Army Base Northeast Gateway Construction Related Air Quality 
From:		Planning And Building Department 
Recommendation: Receive An Informational Report On The Construction -Related Air Quality Plan Prepared By Prologis And Approved By The City Administrator For The Northeast Gateway Site Of The Oakland Army Base Redevelopment Project" "air quality"
9/26/2016 1 "3) Adopt Resolution Authorizing The City Administrator Or Designee To Accept And Appropriate A Bay Area Air Quality Management District (BAAQMD) Transportation Fund For Clean Air (TFCA) Grant Award Of Two Hundred And Forty-Four Thousand Dollars ($244,000.00) To Conduct Site Preparation And Installation Of Twenty-Eight Electric Vehicle Charging Stations At Seven City-Owned Public Parking Facilities; And" "air quality"
9/26/2016 1 "2) Adopt A Resolution (A) Authorizing The City Administrator Or Designee To Accept And Appropriate One Million Three Hundred Thousand Dollars ($1,300,000) In Congestion Mitigation And Air Quality (CMAQ) Improvement Funds From The Metropolitan Transportation Commission (MTC) For A Three-Year Demand-Responsive Parking And Mobility Management Initiative; And (B) Establishing All Parking Meter Zones In Oakland Municipal Code Section 10.36.140 As Flexible Parking Zones; And" "air quality"
7/13/2016 1 "Subject:	Resolution Urging Bay Area Air Quality Management District (BAAQMD) Board Of Directors To Adopt The Refinery Emission Limits
From:		Councilmembers Kalb And Kaplan
Recommendation: Adopt A Resolution Urging Bay Area Air Quality Management District (Baaqmd) Board Of Directors To Adopt The Refinery Emission Limits Detailed In The Community-Worker Alternative To Rule 12-16 To Ensure Community And Refinery Worker’s Health And Safety" "air quality"
12/30/2015 1 "Subject:	Implementing A Bike Share Program
From:		Oakland Public Works Department
