9/15/2022 "Traffic sign(s)/signal(s) at S Keeler Ave and W Harrison St - All-Way Stop" infrastructure
9/15/2022 "Traffic sign(s)/signal(s) at W Cermak Ave, S Trumbull Ave and S Homan Ave - All-Way Stop" infrastructure
9/15/2022 "Residential permit parking at 1913-1931 S Peoria St - Zone No. 2359" environment
9/15/2022 "Traffic sign(s)/signal(s) at E 86th St and S Prairie Ave - Stop" infrastructure
9/15/2022 "Reaffirmation of commitment to sanctity of Soldier Field memorial campus and its associated buildings and monuments" welfare
9/15/2022 "Kinzie Industrial Conservation Area Tax Increment Financing Redevelopment Plan and Project Amendment No. 2 dated July 29, 2022" economy
9/15/2022 "Pulaski Corridor Tax Increment Financing, Redevelopment Plan and Project Amendment No. 3 dated July 29, 2022" infrastructure
9/15/2022 "Red Line Extension (RLE) Redevelopment Project Area Tax Increment Financing Redevelopment Plan and Project dated July 27, 2022" infrastructure
9/21/2022 "Inspector General's audit on Department of Family and Support Services' Strategic Contracting" welfare
9/21/2022 "Damage to property claim for Scott, Willie M." infrastructure
9/21/2022 "Damage to property claim for Holmes, Pearline" economy
9/21/2022 "Resignation of Alderman Michele Smith (43rd Ward)" law
9/21/2022 "Proposed ordinance to protect the good name of ""Soldier Field"" by citywide voter referendum prohibiting corporate or commercial naming, addition, attachment or alteration of historic building name" "foreign policy"
9/21/2022 "Time fixed for next City Council Meeting September 21, 2022 at 10:00 A.M." infrastructure
9/21/2022 "Issuance of multi-family housing revenue bonds to Grace Manor LP for construction of affordable housing at 3401-3423 W Ogden Ave" welfare
9/21/2022 "Loading/Standing/Tow Zone(s) at 1-36 W Maple St" infrastructure
9/21/2022 "Loading/Standing/Tow Zone(s) at 1-32 W Elm St" infrastructure
9/21/2022 "Vehicle weight limitation at S Neenah Ave from W 61st St to W 63rd St  - 5 tons" infrastructure
9/21/2022 "Residential permit parking at W Diversey Ave from 3212-3324 and 3213-3315" infrastructure
9/21/2022 "Loading/Standing/Tow Zone(s) at W Chicago Ave" infrastructure
9/21/2022 "Residential permit parking at N Washtenaw Ave, 6500 block - Zone 2166 - extension" infrastructure
9/21/2022 "Traffic sign(s)/signal(s) at 600-643 W Kemper Pl and 2320-2328 N Geneva Ter - No Parking School Days" infrastructure
9/21/2022 "Residential permit parking at N Stockton Dr from 2000-2398 and 2001-2399 - Zone 143" environment
9/21/2022 "Residential permit parking at N Stockton Dr from 1700-1998 and 1701-1999 - Zone 142" environment
9/21/2022 "Residential permit parking at W 16th St from S Blue Island Ave to 1359 - amend" infrastructure
9/21/2022 "Amendment of Municipal Code by repealing in its entirety Section 3-92-075 regarding pensions" economy
9/21/2022 "Amendment of Municipal Code Section 2-84-450 to further regulate disbursement of benefits to widows or other dependents of police officers killed in line of duty" law
9/21/2022 "Amendment of Municipal Code Chapter 2-84 by adding new Section 2-84-057 requiring superintendent of police to notify City Council when leaving Chicago for personal or official business" infrastructure
9/21/2022 "Amendment of Municipal Code Chapter 2-84 by adding new Section 2-84-520 regarding reimbursement of basic recruit training paid and provided for by Department of Police" economy
9/21/2022 "Amendment of Municipal Code Title 2 by adding new Chapter 2-172 entitled ""Public Official Use of Force Training""" economy
9/21/2022 "Amendment of Municipal Code Section 10-8-335 and Chapter 2-152 by adding new Section 2-152-175 regarding days off for Chicago Police Department employees" infrastructure
9/21/2022 "Amendment of Municipal Code Section 4-60-023 (45.87) to disallow additional package goods licenses on portion(s) of N Elston Ave" infrastructure
9/21/2022 "Amendment of Municipal Code Section 2-78-180 by dissolving Civilian Office of Police Accountability and transferring rights and powers to Community Commission for Public Safety and Accountability" infrastructure
9/21/2022 "Loading/Standing/Tow Zone(s) at S Federal St from W 23rd St to W 24th St" infrastructure
