8/10/2022 "Suspension/Revocation hearing regarding the Fermented Malt Beverage Off Premises License currently issued to Kum & Go LC d/b/a Kum & Go #674 at 1021 S Nevada Avenue." welfare
8/10/2022 "Application of Kum & Go LC d/b/a Kum & Go #2230 for a new Fermented Malt Beverage Off Premises License at 7446 N Marksheffel Road" environment
8/10/2022 "Application of Argoz, LLC d/b/a Don Turi's for a new Hotel and Restaurant Liquor License at 4423 Centennial Boulevard" economy
8/10/2022 "Application of Firewater Hospitality Group, LLC d/b/a Bloom Ultra Lounge for a new Tavern License at 112 N Tejon Street, #10" welfare
8/10/2022 "Application of Beior Shoppe Sociale, LLC d/b/a Blades and Brews for a Change of Location of the existing Beer and Wine License at 501 W Colorado Avenue to 1119 W Colorado Avenue." welfare
7/22/2019 "A proposed 2020 Operating Plan and Budget for the Greater Downtown Colorado Springs Business Improvement District		

  Presenter:  
Carl Schueler, Comprehensive Planning Manager" infrastructure
8/14/2018 "Approval of the Proposed 2019 Operating Plan and Budget for the Greater Downtown Colorado Springs Business Improvement District

  Presenter:  
Carl Schueler, Comprehensive Planning Manager" infrastructure
5/3/2016 "Approval of the Proposed 2017 Operating Plan and Budget for the Greater Downtown Colorado Springs Business Improvement District

  Presenter:  
Carl Schueler, Planning Manager - Comprehensive Planning
Kara Skinner, Chief Financial Officer
Peter Wysocki, Planning and Development Director" infrastructure
7/27/2015 "Approval of the Proposed 2016 Budget and Operating Plan for the Greater Downtown Colorado Springs Business Improvement District" infrastructure
8/4/2014 "Approval of the Proposed 2015 Operating Plan and Budget for the Greater Downtown Colorado Springs Business Improvement District" infrastructure
8/2/2022 "Minutes for the July 13, 2022, City Planning Commission meeting.

  Presenter:  
Scott Hente, Chair of the City Planning Commission" infrastructure
8/3/2022 "Informational Report on Short Term Rentals

  Presenter:  
Carli Hiben, Program Coordinator, Planning & Community Development" welfare
7/26/2022 "Zonehaven Overview and Update

  Presenter:  
Charlie Crocker, Co-Founder of Zonehaven, and SVP of SaaS Solutions at Genasys, Inc..
Stephen Sickler, VP of Field operations for the SaaS Solutions at Genasys, Inc." welfare
7/25/2022 "An ordinance repealing Part 18 (Acquisition and Disposition of Real Property Interests) of Article 7 (Subdivision Regulations) of Chapter 7 (Planning, Development and Building) and creating a new Part 5 (Acquisition of Real Property Interests) of article 2 (City Properties) of Chapter 3 (Public Property and Public Works) of the Code of the City of Colorado Springs 2001, as amended, pertaining to acquisition and disposition of real property.

  Presenter:  
Ben Bolinger, Legislative Counsel, Office of the City Attorney
Darlene Kennedy, Real Estate Services Manager" infrastructure
7/14/2022 "A resolution finding a petition for annexation of the area known as Dublin North Addition No. 5 Annexation consisting of 5.89 acres to be in substantial compliance with section 31-12-107(1), C.R.S. and setting a hearing date of September 13, 2022, for the Colorado Springs City Council to consider the annexation of the area.

(Legislative)
 
 Presenter:  
Katelynn Wintz, Planning Supervisor, Planning & Community Development
Peter Wysocki, Planning and Community Development Director" infrastructure
7/5/2022 "2021 Annual Coroner’s Report 

  Presenter:  
Dr. Leon Kelly, El Paso County Coroner" law
3/29/2022 "City Financial Report - 2021 Wrap-up, 2022 Update, 2023 Outlook
 
 Presenter:  
Charae McDaniel, Chief Financial Officer" infrastructure
7/27/2022 "A Resolution recognizing August 12, 2022 as Julie Penrose Day

  Presenter:  
Stephannie Fortune, Councilmember District 3" welfare
