8/9/2022 "ADU Task Force Update" "foreign policy"
8/9/2022 "Ballot Access Modernization." infrastructure
8/9/2022 "Approves a contract for $2,400,000 with Downtown Denver Partnership, Inc. in American Rescue Plan Act (ARPA) funds and through 12-31-2023 to support Downtown economic recovery by increasing foot traffic through activation programming in the areas of retail, restaurant, entertainment, businesses, and safety in Council District 9 (contract # XXXXX)." welfare
8/8/2022 "Accepts a donation of five public artworks from the Park Creek Metropolitan District, commissioned by three different artists, displayed in the Central Park neighborhood in Council District 8 (THTRS-202160909-00)." welfare
8/8/2022 "Accepts a donation of artwork from Denver Urban Gardens and the Trust for Public Land titled “For the Children,” created by artist Robert Tully with community input, displayed at New Freedom Park in Council District 5 (THTRS-202160912-00)." welfare
8/8/2022 "Amends a funding and assignment agreement with the Colorado Museum of Natural History, doing business as the Denver Museum of Nature and Science (DMNS), by adding $950,000 for a new total of $3,950,000 to account for rising costs, with DMNS separately adding a matching amount and managing the contract for the City Park Nature Play and DeBoer Waterway Restoration project in Council District 9. No change to contract duration. (202056989 / 202263547)." welfare
8/8/2022 "Amends Chapters 32 and 39 of Denver Revised Municipal Code regarding certain park and park related fees." infrastructure
8/8/2022 "Authorizes the purchase of a RIZO printer from the Department of Transportation and Infrastructure Wastewater Operations Fund to support high-volume printing needs for programs requiring paper billing and communications." infrastructure
8/8/2022 "Amends an intergovernmental agreement with Urban Drainage and Flood Control District (UDFCD), doing business as Mile High Flood Control District, by adding $1,000,000 of UDFCD funds and $1,000,000 of City funds to continue construction of drainage and flood control improvements for Marston Lakes North at Bowles Ditch in Council District 2. No change to contract duration. (202159332-01_202264130-01)." infrastructure
8/8/2022 "Amends a contract with Northeast Transportation Connections (NETC) for $2,608,592 for a new total of $3,163,800.75 and nine months for a new end date of 12-31-2024 to expand service in a neighborhood transit service pilot by adding vehicles and extending the length of the pilot in Montbello in Council Districts 8 and 11 (202159514-01_202264400-01)." infrastructure
8/8/2022 "Relinquishes a portion of the easement as established in the vacating Ordinance No. 520, Series of 2002, located at 1255 North Vrain Street in Council District 1." infrastructure
8/8/2022 "Grants a revocable permit, subject to certain terms and conditions, to Jose Rangel, their successors and assigns, to encroach into the right-of-way with 12.75 linear feet of 10-inch storm sewer and three, 12.75-foot 2-inch conduits below finished grade, crossing the alley at 1040 North Santa Fe Drive in Council District 3." infrastructure
8/7/2022 "Amends Chapter 27 of the Denver Revised Municipal Code to establish prioritization requirements for income-qualified households in certain income-restricted affordable housing." welfare
8/7/2022 "Amends Ordinance No. 0591, Series of 2021, as amended by subsequent ordinances, to allocate a total of $1,000,000 in spending for the Recovery category in the American Rescue Act Plan (ARPA) Grant Fund, which will be funded from interest earnings generated by the ARPA program, to provide gift cards, vouchers, and expanded food box distribution to individuals and families in the City to alleviate pressures on those who have experienced food insecurity because of Covid-19 or economic inflation." welfare
8/7/2022 "Approves a contract with Colorado Center on Law and Policy for $600,000 in American Rescue Plan Act (ARPA) funds and through 12-31-2023 to provide businesses located in Neighborhood Equity and Stabilization (NEST) identified neighborhoods with one-on-one navigation assistance connecting them with City and partner business resources, as well as technical assistance to find, apply for and manage business funding opportunities to aid in their economic recovery (202263934)." welfare
8/7/2022 "Amends Chapter 10 of the Denver Revised Municipal Code to clarify energy efficiency requirements of existing buildings." infrastructure
8/7/2022 "Amends a contract with Kainos Worksmart, Inc. by adding $649,800 for a new total of $1,299,800 and three years for a new end date of 7-31-2025 to continue implementing a Workday test automation tool to make testing Workday configurations faster, easier and less resource-intensive, citywide (TECHS- 201948348, 202264118)." welfare
