8/12/2022 "Resolution authorizing the proper City officials to accept disbursements of settlement payments relating to the National Prescription Opiate multidistrict litigation." welfare
8/12/2022 "Resolution expressing the City of Milwaukee’s support for the site selection of the Wisconsin Department of Corrections’ new Type 1 Juvenile Correctional Facility." law
8/5/2022 "Presentation of the Second Quarter Financial Reports for the period ending June 30, 2022" economy
8/5/2022 "Resolution approving the rooftop antenna lease at Hillside Terrace with PCS for People Ohio, LLC" infrastructure
8/5/2022 "Communication from the City Clerk relating to various commendatory/condolatory resolutions to be acknowledged and affirmed by the Common Council." government
8/5/2022 "Resolution relating to the claim of OPTUM." infrastructure
8/4/2022 "Communication from the Department of Administration - Intergovernmental Relations Division relating to a status update on the City’s efforts to increase state shared revenue, establish a City sales tax, and other fiscal initiatives." welfare
8/4/2022 "Resolution relating to the appeal of Jennifer Merriweather for property damage." law
9/1/2022 "Resolution relating to the claim of Brenda Taylor." infrastructure
8/2/2022 "Resolution authorizing the City of Milwaukee’s Department of Administration to expend funds from a subaward from the State of Wisconsin-Department of Administration’s allocation of the State and Local Fiscal Recovery Funds from the American Rescue Plan Act for the provision of a summer 2022 Earn and Learn Violence Prevention Program with Employ Milwaukee." welfare
8/1/2022 "Communication from the Department of Administration relating to approval of changes to certain single or sole source contracts or contract amendments." government
7/28/2022 "Communication from the Department of Administration - Budget and Management Analysis Division regarding vacancy requests, fund transfers and equipment requests." "foreign policy"
7/28/2022 "Resolution relating to  acceptance, funding and expenditure of a Tourism Capital Grant from the Wisconsin Department of Administration by Port Milwaukee." welfare
7/28/2022 "An ordinance relating to traffic controls." infrastructure
7/28/2022 "An ordinance relating to parking controls." infrastructure
7/28/2022 "An ordinance relating to the recovery rate ratio for placement of new assessable traffic calming improvements." infrastructure
7/28/2022 "An ordinance renaming North 5th Street, from West Capitol Drive to West Walnut Street, Dr. William Finlayson Street." infrastructure
7/28/2022 "Resolution relating to agreements between the Community Intervention Task Force and the Law Enforcement Action Partnership." law
7/28/2022 "Resolution directing the Police Department to report citations issued, thefts and other relevant information relating to the supervision and storage of firearms by owners." law
7/28/2022 "Resolution directing the Commissioner of Public Works to execute documents titled “State/Municipal Agreement for a State-Let Local Bridge Project” with the Wisconsin Department of Transportation for the  rehabilitation of the South 16th Street Viaduct Span over the Menomonee Rive and the rehabilitation of the South 72nd Culvert over the Honey Creek; and to set up funds for design engineering at an estimated total cost of $1,828,812 with an estimated City share of $380,599 and a grantor share of $1,448,213." infrastructure
7/28/2022 "Resolution directing the Commissioner of Public Works to execute a document titled “1st Revision State/Municipal Agreement for a State-Let Highway Project” with the Wisconsin Department of Transportation for the programming, design, and construction of West Lisbon Avenue from North 100th Street to West Burleigh Street." infrastructure
7/28/2022 "Resolution directing the Commissioner of Public Works to execute a document titled “2nd Revision State/Municipal Agreement for a State-Let Highway Project” with the Wisconsin Department of Transportation for the programming, design, and construction of North 27th Street with Intersections of Locust, Center, and North." infrastructure
7/28/2022 "Resolution directing the Commissioner of Public Works to execute a document titled “State/Municipal Agreement for a State-Let Highway Project” with the Wisconsin Department of Transportation for the programming, design, and construction of West Fond du Lac Avenue (STH 145) from North 19th Street to North 12th Street, and to set up funds for design engineering at an estimated total cost of $555,900 with an estimated City share of $138,976 and a grantor share of $416,924." infrastructure
7/28/2022 "Communication relating to the court’s supplemental judgment in the matter of State v. Chantia Lewis." law
7/28/2022 "Resolution relating to the claim of Curtis L. Craig." infrastructure
7/28/2022 "An ordinance relating to the change in zoning from General Planned Development, GPD, to a Detailed Planned Development, DPD, known as Block 3-Arena Master Plan, Phase 1 for development of a music venue and associated elements on a portion of 1001 North Vel R. Phillips Avenue, on the west side of North Vel R. Phillips Avenue, north of West State Street, in the 4th Aldermanic District." infrastructure
7/28/2022 "An ordinance relating to the Second Amendment to the General Planned Development, GPD, known as Arena Master Plan to allow changes to the zoning standards for Block 3 of the GPD and adjacent lands, located on the west side of North Vel R. Phillips Avenue, north of West State Street, in the 4th Aldermanic District." welfare
7/28/2022 "Resolution to vacate a portion of East Wright Street in the block bound by East Meinecke Avenue, North Gordon Place, East Wright Street, and the Milwaukee River, in the 3rd Aldermanic District." government
7/28/2022 "Communication from the City Clerk relating to official notices and reports." government
7/28/2022 "Communication from the Comptroller’s Office relating to the Annual Outstanding Receivables Report." economy
7/28/2022 "An ordinance relating to the change of Juneteenth Day from an optional city holiday to an official city holiday." infrastructure
7/28/2022 "Communication from the Department of Administration informing the Finance and Personnel Committee of waivers granted for certain single or sole source contracts or contract amendments." government
7/28/2022 "Resolution authorizing the return of real estate located at 4647 N. 40th Street, in the 7th Aldermanic District, to former owner(s) RDM Properties LLC. c/o Rodney Manns." government
7/28/2022 "Communication from the Department of Employee Relations relating to classification studies scheduled for Fire and Police Commission action." law
7/28/2022 "Communication from the Department of Employee Relations relating to classification studies scheduled for City Service Commission action." government
7/28/2022 "Communication from the Department of Employee Relations amending the Salary and Positions Ordinances relative to clerical or administrative corrections." economy
7/28/2022 "An ordinance to further amend the 2022 rates of pay of offices and positions in the City Service." economy
7/28/2022 "An ordinance to further amend the 2022 offices and positions in the City Service." economy
7/28/2022 "Communication from the City Clerk relating to service of papers." government
7/28/2022 "Resolution authorizing the proper City Officers to execute Quit Claim Deeds QCD-2913 and QCD-2914 to convey City Sewers within the area bounded by North 8th Street, North 9th Street, West McAuley Place and West Michigan Avenue, in the 4th Aldermanic District." infrastructure
7/28/2022 "Resolution relating to a Certificate of Appropriateness for a new asphalt roof and select repair of masonry chimney at 2722 N. Grant Boulevard, in the Grant Boulevard Historic District, for Marjorie Rucker." infrastructure
7/28/2022 "Resolution relating to a Certificate of Appropriateness for a poured concrete pad with stampled pattern border at 1119 E. Knapp Street, in the First Ward Triangle Historic District, for Slayed Development One LLC." infrastructure
7/28/2022 "Substitute resolution relating to the Community Intervention Task Force membership and extending the reporting deadline." law
7/28/2022 "Resolution to approve the May 26, 2022 meeting minutes" "foreign policy"
7/28/2022 "Resolution amending Resolution File Number 211869, relating to an extension for the development of tax-foreclosed properties in the Garden Homes Neighborhood in the 1st Aldermanic District." welfare
7/28/2022 "Resolution authorizing the City of Milwaukee’s Department of Administration to accept funds from a subaward from the State of Wisconsin-Department of Administration’s allocation of the State and Local Fiscal Recovery Funds from the American Rescue Plan Act for the provision of a summer 2022 Earn and Learn Violence Prevention Program with Employ Milwaukee." welfare
7/28/2022 "Resolution relating to a Certificate of Appropriateness for masonry repairs at 2016 E. Windsor Place, in the North Point South Historic District, for Todd Dacquisto." government
