"Not Available" "Head Start Birth to Five Monthly Report - June 2022" welfare
"Not Available" "Head Start Birth to Five Monthly Report - May 2022" welfare
"Not Available" "Emergency Rental Assistance Program Weekly Update" infrastructure
"Not Available" "Fire Hydrant Maintenance, Repair and Replacement Program - Activity Report for May 2022" infrastructure
"Not Available" "Department of Justice Investigation Update" law
"Not Available" "Weekly Community Spread Benchmark Report" welfare
"Not Available" "2022 State Legislative Report" government
7/1/2022 "Public Safety Personnel Retirement System" law
"Not Available" "Mayor and Council Appointments to Boards and Commissions" government
7/1/2022 "HVAC Maintenance, Repair and Replacement Contract - Amendment (Ordinance S-48896)" infrastructure
7/1/2022 "Contract with Community Bridges Inc. for American Rescue Plan Act Homeless Services (Ordinance S-48895)" welfare
"Not Available" "Intergovernmental Agreement between Maricopa County and City Public Defender's Office for Use of Maricopa County Phone Services (Ordinance S-48894)" welfare
7/1/2022 "Intergovernmental Agreement between Maricopa County and City Prosecutor's Office for Use of Maricopa County Phone Services (Ordinance S-48893)" law
"Not Available" "Issuance of Multifamily Housing Revenue Bonds (Residences at Falcon Park Project), Series 2022 (Resolution 22047)" welfare
"Not Available" "Authorization to Enter into Contracts for Document Review Legal Services (Ordinance S-48892)" government
7/1/2022 "Fire Department Health Services Agreement (Ordinance S-48891)" welfare
7/1/2022 "Resolution Adoption - Sonoran Desert Drive Funding Policy (Resolution 22048)" welfare
7/1/2022 "Artist Design Contract for Perry Park Public Art Project (Ordinance S-48890)" government
"Not Available" "Amend Agreements with Various School Districts for Funding of School Resource Officers (Ordinance S-48889)" welfare
"Not Available" "Amend Personnel Rule 15, Parental Leave (Ordinance S-48888)" economy
"Not Available" "Intergovernmental Agreement with Maricopa County Sheriff's Office (Ordinance S-48887)" law
"Not Available" "Request for City Council to Call to Meet in Executive Session on Specific Dates through December 2022" infrastructure
"Not Available" "Employee Back-up Care, Tutoring and Discounted Services, EXC HR 22-004 (Ordinance S-48886)" economy
7/1/2022 "AARP Foundation Program Agreement for Experience Corps Phoenix Tutoring (Ordinance S-48885)" welfare
"Not Available" "ARPA Phoenix Resilient Food System Programs Second Tranche - Amendments for Continuing Programs (Ordinance S-48884)" welfare
"Not Available" "Amend City Code - Article XI, Section 36-134, Stopping, Standing or Parking Prohibited in Specific Places (Ordinance G-7005)" infrastructure
7/1/2022 "Event Services Contracted Labor - Amendment (Ordinance S-48883)" economy
"Not Available" "QCM Technologies, Inc." economy
"Not Available" "Public Safety Radio Network Contract - EXC 22-132 Request for Award (Ordinance S-48882)" law
"Not Available" "Water Services Department Water Main Replacement Program Engineering/Consulting On-Call Services (Ordinance S-48881)" infrastructure
7/1/2022 "Operating Funds for Phoenix Starfish Place (Ordinance S-48880)" welfare
"Not Available" "Custom Analytical Standards Contract - IFB-2122-WES-331 Request for Award (Ordinance S-48879)" welfare
