7/18/2022 "Communication from Lee C. Schmidt, Director of the Department of Public Safety, submitting a request for approval of the preliminary list for grantees of STOP the Violence Trust Fund Community Investment Grants, dated June 14, 2022." welfare
7/18/2022 "Communication from John H. Patterson, Executive Director of Pittsburgh Community Television Corporation, submitting PCTV’s 2021 Annual Report." welfare
7/18/2022 "Communication from Michael Lamb, City Controller, submitting a Fiscal Audit Three Taxing Bodies Services Trust Fund and Escrow Account, dated July 13, 2022." economy
7/18/2022 "Communication from Brenda F. Pree, City Clerk, submitting the Writ of Election of the Vacancy of Council District 5, to the Allegheny County Board of Elections." government
7/15/2022 "Resolution further amending and supplementing Resolution No. 855 of 2011, entitled “adopting and approving the 2012 Capital Budget” by transferring $2,500 to Hilltop Alliance, within District 3 Neighborhood Needs." welfare
7/15/2022 "Resolution further amending Res. No. 93 effective March 6, 2012 entitled “Providing for an Agreement or Agreements, or use of existing Agreements and/or a Contract or Contracts, or use of existing Contracts, and for the purchase of materials, supplies, equipment, and/or services for various projects in connection with the City Council Neighborhood Needs Program in Council District 3; and providing for the payment of the costs thereof”, by transferring $2,500 to the Hilltop Alliance.  Total cost of all District 3 Neighborhood Needs projects is not to exceed $51,943.77." welfare
7/15/2022 "Communication from Council President, Theresa Kail-Smith, directing the City Clerk, Brenda F. Pree, to submit the Writ of Election of the Vacancy of Council District 5, to the Allegheny County Board of Elections." infrastructure
7/15/2022 "Resolution amending Resolution 176 of 2022, entitled “Resolution authorizing the Mayor and Director of the Department of Public Safety to execute relevant Grant Agreements to receive funding from Allegheny County Health Department to develop a public health-informed diversion program and further providing for expenditures under the terms of said Agreements,” to correct the amount authorized by the Grant Agreement or Agreements and the amount authorized for expenditures." welfare
7/15/2022 P-Cards economy
7/15/2022 "Communication from Jake Pawlak, Director of the Office of Management and Budget, submitting acting pay approval on behalf of the Commission on Human Relations for Rachel Shepherd, per the Acting Pay Policy revised in June 2018." law
7/15/2022 "Communication from Sarah Kinter, Director of the Department of Permits, Licenses, and Inspections, submitting PLI’s amended Title VII Business Licensing Rules." economy
7/14/2022 "Resolution approving the recommendation made by the Director of the Department of Mobility and Infrastructure that the concrete portion of Old Oak Drive located in Banksville be paved with asphalt in accordance with Section 417.06 of the Pittsburgh Code of Ordinances." infrastructure
7/14/2022 "Resolution authorizing and directing the Pittsburgh City Controller to perform an audit of the City of Pittsburgh and related intergovernmental authorities’ compliance with the Service Worker Prevailing Wage Ordinance." economy
7/14/2022 "Resolution providing for an Agreement or Agreements with North Side Christian Health Center in an amount not to exceed Ninety Thousand Two Hundred Twenty Dollars and Fifty Four Cents ($90,220.54) as part of the 2019 City Council Public Service Grant program." welfare
7/14/2022 "Resolution authorizing the Mayor and the Director of the Department of City Planning to enter into an Agreement or Agreements with the Heinz Endowments for the purpose of receiving and spending grant funds in the amount of FIFTY THOUSAND ($50,000.00) dollars to develop a strategic plan." welfare
7/14/2022 "Ordinance amending the Pittsburgh Code, Title Nine, Zoning Code, Article I, Zoning Map, Article II, Base Zoning District, Chapter 904 Mixed Use Districts; Article IV, Planning Districts, Chapter 908 Public Realm Districts; Article V, Use Regulations, Chapter 911, Primary Uses, Section 911.02, Use Table; and Section 911.04, Use Standards; Article VI Development Standards, Chapter 914 Parking Loading and Access, Chapter 915, Environmental Performance Standards, and Chapter 919, Signs; and Article VIII Review and Enforcement, Chapter 922 Development Review Procedures; and Article IX, Chapter 926" infrastructure
7/14/2022 "Resolution authorizing the Mayor and the Director of Permits, Licenses and Inspections, on behalf of the City of Pittsburgh for the issuance of a warrant in favor of Noralco Corp for producing a structural demolition plan for 209 1st Ave, at a cost not to exceed Ten Thousand Five Hundred and Fifty Dollars ($10,550.00)." infrastructure
7/14/2022 "Resolution authorizing the Mayor and Director of the Department of Public Safety to enter on behalf of the City of Pittsburgh into a Professional Service Agreement or Agreements with Open Innovation Plans, LLC for records management software services at an overall cost to the City not to exceed ONE HUNDRED FOUR THOUSAND NINE HUNDRED FORTY-FOUR DOLLARS and SIXTY CENTS ($104,944.60)." law
7/12/2022 "Resolution providing for the Mayor and the Director of the Department of Finance and/or the Director of the Department of Public Works to enter into a lease, leases, sublease and/or subleases for approximately 8,000 square feet, from the lessor, the Housing Authority of the City of Pittsburgh, for the purpose of providing office space for employees of the Department of Planning and the Department of Permits, Licenses, and Inspections, located within the City of Pittsburgh's First Ward at 100 Ross Street, 15218, Lot number 2-J-00244,  effective on or about September 1, 2022 for a one (1) year p" welfare
7/12/2022 "Resolution authorizing the Mayor and the City Solicitor to enter into a Professional Services Agreement with Meyer, Unkovic & Scott, LLP, 535 Smithfield Street, Suite 1300, Pittsburgh, PA 15222, for expert legal services related to litigation in the United States District Court for the Western District of Pennsylvania at Case 2:22-cv-706 (Builders Association of Metropolitan Pittsburgh v. City of Pittsburgh, et al.), in an amount not to exceed Two Hundred Fifty Thousand Dollars and No Cents ($250,000.00).
(Executive Session held 7-19-22)" infrastructure
7/11/2022 "Resolution authorizing the Mayor of the City of Pittsburgh and the Deputy Chief of Staff to receive grant funding from the Heinz Endowments to hire an Education Coordinator for twenty four months in the amount of ONE HUNDRED SEVENTY FIVE THOUSAND ($175,000.00) dollars, and authorizing expenditures for this stated purpose." welfare
7/11/2022 "Resolution authorizing the Mayor of the City of Pittsburgh to receive grant funding and technical assistance from Cities for Financial Empowerment Fund, Inc. for the 2022 cohort of Financial Empowerment Cities, intended to create an Office of Financial Empowerment, in the amount of ONE HUNDRED SEVENTY THOUSAND ($170,000.00) dollars, and authorizing expenditures for this stated purpose." welfare
7/11/2022 "Resolution adopting Plan Revision to the City of Pittsburgh’s Official Sewage Facilities Plan for the proposed Meridian development, located at 6320 Shakespeare Street, Pittsburgh, PA 15206." infrastructure
6/21/2022 "Resolution authorizing the Mayor and the Director of the Department of Public Works, on behalf of the City of Pittsburgh, to enter into an Agreement or Agreements with the South Side Community Council, a 501(c)(3) organization, for the City of Pittsburgh to grant to the South Side Community Council, its successors and assigns, the privilege and license to improve and maintain Esser Plaza, parcel 3-H-00015, located at 1200 East Carson Street, 15203, in the 17th Ward of the City of Pittsburgh, Pennsylvania." welfare
7/8/2022 "Resolution authorizing the Mayor and the Director of the Department of Public Works, on behalf of the City of Pittsburgh, to enter into an Agreement or Agreements with the Board of Public Education of the School District of Pittsburgh, for the Board of Public Education of the School District of Pittsburgh to grant to the City of Pittsburgh, its successors and assigns, the privilege and license to construct, maintain and use at the City’s own cost and expense, a ball playing field, to be located on the grounds of Pittsburgh Faison K - 5 School, parcel 0175-B-00320, at 7430 Tioga Street, in the" welfare
7/8/2022 "Resolution providing for an agreement with Swank Construction Company, LLC for the Construction Phase of the 30th Street Bridge Preservation Project; and providing for the payment of the costs thereof, not to exceed One Million Nine Hundred and Fifty Thousand Dollars ($1,950,000.00)." infrastructure
7/8/2022 P-Cards economy
7/8/2022 "Communication from Michael Lamb, City Controller, submitting the City of Pittsburgh’s Popular Annual Financial Report (PAFR) for the year ended December 31, 2021" welfare
7/8/2022 "Communication from Michael Lamb, City Controller, submitting a fiscal audit of the Police Secondary Employment Trust Fund (PSETF), dated June 2022." welfare
7/8/2022 "Communication informing Council of the appointment of Kelly Russell as Assistant Director of Community Development in the Office of Management and Budget" welfare
7/8/2022 "Resolution authorizing payment from the Department of Permits, Licenses, and Inspections by method of P-Card to the International Accreditation Services, Inc. (IAS) for accreditation under its Building Department Accreditation (BDA) program." infrastructure
7/8/2022 "Resolution amending Resolution 593 of 2021, a resolution amending an Agreement or Agreements with eDocs Technologies, LLC (“eDocs”) for licensing services and maintenance and support services to provide Imaging and document management services to include  Police documents  at an additional cost not exceed Four Hundred Ninety Seven Thousand Three Hundred Fifty Dollars ($497,350.00)" welfare
7/8/2022 "Resolution authorizing the Mayor and Director of the Department of Public Safety to enter on behalf of the City of Pittsburgh into a Software Maintenance Agreement or Agreements, and amendments thereto, with CI Technologies, Inc., for maintenance and user support services for subscription-based licenses for internal affairs and professional standards software to be utilized by the City’s Bureau of Police and Office of Municipal Investigations, at an overall cost to the City not to exceed THIRTY-FOUR THOUSAND THREE HUNDRED FORTY DOLLARS AND NO CENTS ($34,340.00)." law
7/8/2022 "Resolution amending Resolution #65 of 2022, which authorized the Mayor and the Director of the Department of Finance to enter into a maintenance agreement with OPEX Corporation for maintenance services related to the FalconRED document scanning workstation, by adding a year of maintenance for the second machine at a cost not exceed Ten Thousand Nine Hundred Thirty Dollars ($10,930.00)." infrastructure
7/8/2022 "Resolution authorizing the Mayor and the City Solicitor to enter into a Professional Services Agreement with Fisher Phillips, Six PPG Place, Suite 830, Pittsburgh, PA 15222, for legal services in connection with collective bargaining, in an amount not to exceed Fifty Thousand Dollars and No Cents ($50,000.00).
(Executive Session scheduled for 8/23/22)" infrastructure
7/8/2022 "Resolution amending 289 of 2022, which authorized the Mayor and the City Solicitor to enter into a Professional Services Agreement with Block & Associates, LLC for services related to an employment related matter, by increasing the total spend by $10,200.00 for a new not to exceed amount of $20,000.00. 
(Executive Session scheduled for 8/23/22)" economy
