8/11/2022 "20220719 LUHT - Richmond Redevelopment and Housing Authority" welfare
8/5/2022 "Public Access and Participation Instructions - Commission of Architectural Review" welfare
8/5/2022 "1839 Monument Avenue - Increase the height of an existing masonry wall and infill an existing opening." infrastructure
10/11/1982 "To authorize the use of the real estate, properties containing 52,927 square feet, more or less, made up of three parcels, identified or described as: (A) All properties within the block bounded by Venable Street, Russell Street, Burton Street and Pink Street, fronting 264.63 feet on Venable Street, 132.00 feet on Russell Street, 264.78 feet on Burton Street, and 132.00 feet on Pink Street; (B) Properties located at the southwest corner of the intersection of North 24th Street and Burton Street; being more completely described as follows: beginning at the intersection of the east line of North" infrastructure
8/9/2022 "Public Access and Participation Instructions- 8-15-2022" welfare
8/8/2022 "106 Shockoe Slip - Replace existing brick patio with stamped concrete pavers." infrastructure
8/5/2022 "RESOLUTION OF THE RICHMOND CITY PLANNING COMMISSION TO AMEND THE CITY OF RICHMOND’S MASTER PLAN TO CHANGE TO THE FUTURE LAND USE DESIGNATIONS FOR OREGON HILL AS DESCRIBED IN THE ATTACHMENT TO CITY COUNCIL RESOLUTION 2022-R033" "foreign policy"
8/5/2022 "Final location, character, and extent review of four modular classrooms at Clark Springs Elementary School (1101 Dance Street)." welfare
8/5/2022 "912 Tulip Street - Rehabilitate an existing one-story commercial building, and construct a new four story, mixed-use building." infrastructure
8/5/2022 "961 Pink Street - Construct a new duplex and garage on a vacant lot." welfare
8/5/2022 "1103 W. Franklin Street - Exterior renovations to an existing rear carriage house." economy
8/5/2022 "2610 E. Grace Street - Construct a new one-story rear garage." economy
8/3/2022 "July 27, 2022 Quarterly Board Vacancy Report - Governmental Operations Standing Committee" government
8/3/2022 "To amend Ord. No. 2022-055, adopted May 9, 2022, which adopted the Fiscal Year 2022-2023 General Fund Budget and made appropriations pursuant thereto, by accepting $760,000.00 from the Virginia Tourism Corporation, and to appropriate these funds to the Fiscal Year 2022-2023 General Fund Budget by increasing estimated revenues and the amount appropriated to the Richmond Metropolitan Conventions & Visitors Bureau (Richmond Region Tourism) line item in the Non-Departmental agency by $760,000.00 for the purpose of increasing visitor engagement and assisting with the recovery of the tourist and hos" welfare
7/26/2022 "To authorize the special use of the property known as 501 North Allen Avenue for the purpose of a hotel use and ground floor commercial use, upon certain terms and conditions, and to repeal Ord. No. 98-115-182, adopted Jun. 8, 1998.  (2nd District)" economy
